key,tnea_code,college_name
125,1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai
601301"
126,1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam,
Chennai 600048"
127,1427,"Sri Krishna Engineering College, Panappakkam, Padappai,
Chennai 601301"
128,1428,"E S Engineering College, Chennai Trunk Road, Ayyankoilpattu,
Villupuram District 605602"
129,1430,"Maha Bharathi Engineering College, A Vasudevanur,
Chinnasalem, Kallakurichi Taluk, Villupuram District 606201"
130,1431,"New Prince Shri Bhavani College of Engineering and Technology,
Vengaivasal Main Road, Gowriwakkam, Chennai 600073"
131,1432,"Rajalakshmi Institute of Technology, Irulapalayam,
Kuthampakkam Post, Kancheepuram District 602107"
132,1433,"Sri Aravindar Engineering College, Pondy �Mailam Road,
Sedarapet Post, Vanur Taluk, Vilupuram District - 605111"
133,1433,"Sri Aravindar Engineering College, Pondy � Mailam Road,
Sedarapet Post, Vanur Taluk, Vilupuram District - 605111"
134,1434,"Surya Group of Institutions, GST Road, Vikravandi Village,
Villupuram District 605652"
135,1435,"Balaji Institute of Engineering and Technology, Thandalam
Village, Thiruporur, Kancheepuram District 603110"
136,1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur
Post, Villupuram District 605601"
137,1437,"Rrase College of Engineering, Padappai, Chennai 601301"
138,1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village,
Vellore District 632101"
139,1439,"S R I College of Engineering and Technology, Birudur, Vandavasi
Taluk, Thiruvannamalai District 604408"
140,1441,"A K T Memorial College of Engineering and Technology,
Neelamangalam Village, Kallakurichi Post & Taluk, Villupuram
District 606202"
141,1442,"Prince Dr. K Vasudevan College of Engineering and Technology,
Medavakkam-Mambakkam Road, Ponmar, Chennai 600048"
142,1444,"Chendu College of Engineering & Technology, Zamin Endathur
Village, Madurantakam Taluk, Kancheepuram District 603331"
143,1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village,
Gingee, Villupuram District 604151"
144,1447,"Jawahar Engineering College, Kaveri Rangan Nagar, Saligramam,
Chennai 600093"
145,1449,"Saraswathy College of Engineering and Technology, NH-45, Main
Road, Olakkur, Tindivanam Taluk, Villupuram District 604307"
146,1450,"Loyola-ICAM College of Engineering and Technology, Loyola
College Campus, Nungambakkam, Chennai 600034"
147,1452,"PERI Institute of Technology, Mannivakkam, West Tambaram,
Chennai 600048"
148,1501,"Adhiparasakthi College of Engineering, Kalavai, Vellore District
632506"
149,1503,"Arulmigu Meenakshi Amman College of Engineering,
Vadamavandal,Thiruvannamalai District 604410"
150,1504,"Arunai Engineering College, Mathur, Thiruvannamalai District
606603"
151,1505,"C Abdul Hakeem College of Engineering and Technology,
Melvisharam, Vellore District 632509"
152,1506,"G G R College of Engineering, Pillayarkuppam, Perumugai Post,
Vellore District 632009"
153,1507,"Ganadipathy Tulsi�s Jain Engineering College, Kaniyambadi,
Vellore District 632102"
154,1507,"Ganadipathy Tu lsi�s Jain Engineering College, Kaniyambadi,
Vellore District 632102"
155,1508,"Arunai College of Engineering, Mathur, Thiruvannamalai District
606603"
156,1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K
K Nagar (West), Chennai 600078"
157,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Vellore
District 635751"
158,1511,"Ranippettai Engineering College, Thenkadappanthangal, Vellore
District 632513"
159,1512,"S K P Engineering College, Thiruvannamalai District 606611"
160,1513,"Sri Balaji Chockalingam Engineering College, Arni,
Thiruvannamalai District 632317"
161,1514,"Sri Nandhanam College of Engineering and Technology,
Tiruppattur, Vellore District 635601"
162,1515,"Saraswathi Velu College of Engineering, Melvenkatapuram
Village, Sholingur, Vellore District 631102"
163,1516,"Thanthai Periyar Government Institute of Technology,
Bagayam, Vellore District 632002"
164,1516,"Thanthai Periyar Government Institute of Technology
Bagayam, Vellore District 632002"
165,1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District
631551"
166,1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi,
Thiruvannamalai District 604505"
167,1519,"Bharathidasan Engineering College, Nattrampalli Post, Vellore
District 635854"
168,1520,"Kingston Engineering College, Chithoor Main Road, Christianpet
Village, Katpadi Taluk, Vellore District 632059"
169,1521,"Sri Sapthagiri Institute of Technology, Ocheri, Arakonam Taluk,
Vellore District 632531"
170,1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam, Walajah Taluk, Vellore District
632506"
171,1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur
Taluk, Thiruvannamalai District 606902"
172,1525,"Podhigai College of Engineering and Technology,
Vinayakapuram, Adiyur Post, Tirupattur Taluk, Vellore District
635601"
173,1526,"Sri Krishna College of Engineering, Tiruttani High Road,
Arakkonam, Vellore District 631003"
174,1529,"Oxford College of Engineering, Venmani Village, Karaipoondi
Post, Polur Taluk, Thiruvannamalai District 606803"
175,1605,"Idhaya Engineering College for Women, Chinnasalem,
Villupuram District 606201"
176,2005,"Government College of Technology (Autonomous), Thadagam
Road, Coimbatore District 641013"
177,2006,"PSG College of Technology (Autonomous), Peelamedu,
Coimbatore District 641004"
178,2007,"Coimbatore Institute of Technology (Autonomous), Civil
Aerodrome Post, Coimbatore District 641014"
179,2025,"Anna University Regional Campus - Coimbatore, Maruthamalai
Main Road, Navavoor Bharathiyar University Post,
Somayampalayam, Coimbatore District 641046"
180,2302,"Sri Shanmugha College of Engineering and Technology, Morur
Bit II Village, Salem District 637302"
181,2314,"Muthayammal College of Engineering, Kakkaveri Post, Namakkal
District 637408"
182,2327,"N S N College of Engineering and Technology, Karur-Madurai
NH7, Manalmedu, Karur District 639003"
183,2328,"K S R Institute for Engineering and Technology, Thokkavadi,
Namakkal District 637215"
184,2329,"Rathinam Technical Campus, Pollachi Road, Eachanari,
Coimbatore District 641021"
185,2332,"Aishwarya College of Engineering and Technology,
Errattaikaradu Paruvachi Post, Anthiyur (Via), Bhavani Taluk,
Erode District 638312"
186,2332,"Aishwarya College of Engineering and Technology,
Errattaikaradu Paruvachi Post, Bhavani Taluk, Erode District"
187,2338,"Asian College of Engineering and Technology, Asian College
Road, Kondayampalayam, Near Saravanampatti, Coimbatore
District 641110"
188,2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti,
Salem District 636111"
189,2342,"Sri Ranganathar Institute of Engineering and Technology,
Thudialur-Kovilpalay Road, Coimbatore District 641110"
190,2343,"Indian Institute of Handloom Technology, Foulke's Compound,
Thillai Nagar, Salem District 636001"
191,2343,
192,2344,"Kongu School of Architecture, Kongu Engineering College
Campus, Perundurai Railway Station Road, Thoppupalayam Post,
Perundurai, Erode District 638052"
193,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to
Airport), Omalur Taluk, Salem District 636309"
194,2346,"Shree Sathyam College of Engineering and Technology, NH-47,
Manjakkalpatti, Kuppanur Post, Sankari Taluk, Salem District
637301"
195,2347,"AVS College of Technology, Attur Main Road, Near AVS
College of Arts & Science, Chinnagoundapuram, Salem District
636106"
196,2348,"San Academy of Architecture, ACC Pirivu, Navakarai Post,
Mavuthampathy Village, Walayar, Coimbatore District 641105"
197,2349,"Dhaanish Ahmed Institute of Technology, Pichanur Post, (Near K
G Chavadi), Coimbatore District 641105"
198,2350,"Jairupaa College of Engineering, Thottiapalayam, Kathankanni
Post, Kangayam, Tiruppur District 641 604"
199,2351,"N R School of Architecture, Kondampatty Village,
Kinathukadavu, Pollachi Taluk, Coimbatore District 641202"
200,2352,"J K K Munirajah School of Architecture, T N Palayam, Gobi
Taluk, Erode District 638506"
201,2353,"Skandha School of Architecture, SSO Arch, Kudalur Post,
Magudanchavadi, Sankagiri Taluk, Salem District 637103"
202,2354,"Pollachi Institute of Engineering and Technology, Main Road,
Poosaripatti, Pollachi Taluk, Coimbatore District 642205"
203,2355,"Cheran College of Engineering, Karur-Coimbatore Main Road,
NH-67, K.Paramathi Post, Aravakurichi Taluk, Karur District
639111"
204,2356,"Arulmurugan College of Engineering, Karvazhi Road, Thennilai
Post, Karur District 639206"
